2004101	8558511
2004102	4176936
2004103	8705426
2004104	1219946
2004105	2719244
2004106	0721011
2004107	4743269
2004108	0724682
2004109	4391330
2004110	3995713
2004111	3876456
2004112	7114532
2004113	3257465
2004114	1125436
2004115	0740260
2004116	3039816
2004117	9591544
2004118	3892994
2004119	2638719
2004120	8894341
2004121	2678059
2004122	7546967
2004123	7362955
2004124	6969508
2004125	7687476
2004126	1253316
2004127	7614077
2004128	2142584
2004129	7822702
2004130	7692801
2004131	8111516
2004132	2305500
2004133	1430482
2004134	7800153
2004135	5249449
2004136	4360092
2004137	0834969
2004138	8027662
2004139	6577062
2004140	4821263
2004141	4210586
2004142	3320501
2004143	3316334
2004144	3915879
2004145	0784121
2004146	4966523
2004147	6009655
2004148	2298607
2004149	6312562
2004150	3966118
2004151	3517649
2004152	3708468
2004153	4534925
2004154	9407325
2004155	5622467
2004156	9809931
2004157	2824055
2004158	2514948
2004159	9234395
2004160	7043543
2004161	8850134
2004162	0775916
2004163	0088355
2004164	7359147
2004165	6361849
2004166	0563691
2004167	4065071
2004168	9912953
2004169	5334630
2004170	0968565
2004171	8622105
2004172	0086137
2004173	4730437
2004174	0711320
2004175	4152403
2004176	1506800
2004177	1928827
2004178	3173875
2004179	7183280
2004180	4432487
2004181	5262254
2004182	4418090
2004183	4364166
2004184	0032322
2004185	4445177
2004186	6129987
2004187	8109318
2004188	9148383
2004189	4816827
2004190	7545819
2004191	2947699
2004192	3170824
2004193	8139586
2004194	0041542
2004195	8130741
2004196	2484465
2004197	2034330
2005001	1145544
2005002	8247621
2005003	8528232
2005004	8737789
2005005	4335679
2005006	7003128
2005007	1990133
2005008	9582069
2005009	4822661
2005010	6197110
2005011	7372749
2005012	2431946
2005013	8871982
2005014	6145023
2005015	1008832
2005016	5007332
2005017	6021361
2005018	8133879
2005019	6990151
2005020	8083093
2005021	9887860
2005022	0714326
2005023	4977888
2005024	6205129
2005025	3319476
2005026	6971528
2005027	3567524
2005028	5994565
2005029	2760271
2005030	6175841
2005031	0603221
2005032	0992337
2005033	7418947
2005034	1292840
2005035	3161558
2005036	6300886
2005037	4309071
2005038	1721747
2005039	7097130
2005040	6619546
2005041	1056353
2005042	6507036
2005043	3341218
2005044	6580444
2005045	6242855
2005046	9231233
2005047	0143328
2005048	3079030
2005049	6814341
2005050	8722529
2005051	1956441
2005052	8200243
2005053	2124774
2005054	7881841
2005055	5054449
2005056	8849963
2005057	7649147
2005058	1765286
2005059	0176869
2005060	0193290
2005061	6566470
2005062	4336717
2005063	9713473
2005064	8364530
2005065	9931069
2005066	5192015
2005067	8610287
2005068	4854986
2005069	3905027
2005070	6643923
2005071	9674961
2005072	8606136
2005073	7169333
2005074	8803227
2005075	2416506
2005076	1655873
2005077	9717927
2005078	7291680
2005079	3718273
2005080	2297280
2005081	4197519
2005082	5197970
2005083	4684952
2005084	8369790
2005085	6134665
2005086	1786544
2005087	0794512
2005088	3338762
2005089	3269958
2005090	2302859
2005091	5245662
2005092	1849544
2005093	1399059
2005094	1466270
2005095	7935347
2005096	0347900
2005097	5561500
2005098	2934547
2005099	3552516
2005100	9044251
2005101	1838702
2005102	5852874
2005103	6724328
2005104	8320767
2005105	7880540
2005106	6271482
2005107	2959262
2005108	5399129
2005109	3139406
2005110	5131485
2005111	9661359
2005112	3426336
2005113	5252039
2005114	8522760
2005115	8609470
2005116	1445948
2005117	7799076
2005118	9317232
2005119	7517952
2005120	7493990
2005121	7243582
2005122	2948394
2005123	5566089
2005124	5711909
2005125	0822503
2005126	4041365
2005127	8636372
2005128	7092496
2005129	8887021
