2012001	00360
2012002	40997
2012003	18194
2012004	98944
2012005	60997
2012006	36426
2012007	68240
2012008	82461
2012009	31624
2012010	03978
2012011	91467
2012012	41344
2012013	34958
2012014	08552
2012015	23444
2012016	76540
2012017	51530
2012018	46543
2012019	85573
2012020	01906
2012021	13897
2012022	64440
2012023	74106
2012024	33486
2012025	99714
2012026	83390
2012027	00650
2012028	68949
2012029	77911
2012030	66501
2012031	98811
2012032	50399
2012033	12764
2012034	74162
2012035	27461
2012036	03402
2012037	44313
2012038	52854
2012039	85527
2012040	81855
2012041	34168
2012042	84122
2012043	35218
2012044	68316
2012045	42129
2012046	37332
2012047	49621
2012048	83314
2012049	04493
2012050	77839
2012051	46711
2012052	84144
2012053	53594
2012054	05725
2012055	06654
2012056	14385
2012057	69152
2012058	25942
2012059	34669
2012060	42405
2012061	71363
2012062	35031
2012063	77306
2012064	83122
2012065	36386
2012066	08404
2012067	42254
2012068	92567
2012069	72106
2012070	30032
2012071	61369
2012072	99877
2012073	46422
2012074	27690
2012075	98964
2012076	07878
2012077	41234
2012078	66056
2012079	01044
2012080	77243
2012081	39949
2012082	99036
2012083	68803
2012084	23891
2012085	47847
2012086	71615
2012087	68429
2012088	53539
2012089	22166
2012090	68263
2012091	83576
2012092	73926
2012093	67128
2012094	60807
2012095	95646
2012096	74983
2012097	68288
2012098	61144
2012099	10541
2012100	48961
2012101	37770
2012102	95529
2012103	27346
2012104	38817
2012105	54219
2012106	68243
2012107	26911
2012108	39980
2012109	24139
2012110	70442
2012111	46161
2012112	75074
2012113	43286
2012114	07921
2012115	02907
2012116	47184
2012117	04244
2012118	80432
2012119	83672
2012120	46905
2012121	67098
2012122	47421
2012123	62263
2012124	90103
2012125	67832
2012126	28101
2012127	20539
2012128	17805
2012129	92190
2012130	21100
2012131	58663
