2004001	188	070
2004002	356	557
2004003	883	986
2004004	369	791
2004005	780	941
2004006	597	611
2004007	489	144
2004008	573	471
2004009	783	505
2004010	341	828
2004011	000	607
2004012	498	878
2004013	074	477
2004014	622	476
2004015	593	439
2004016	329	679
2004017	667	688
2004018	570	177
2004019	288	264
2004020	571	597
2004021	832	270
2004022	204	086
2004023	423	936
2004024	031	287
2004025	691	152
2004026	668	247
2004027	708	798
2004028	943	801
2004029	473	485
2004030	640	205
2004031	797	800
2004032	829	151
2004033	469	992
2004034	746	253
2004035	370	911
2004036	550	424
2004037	679	828
2004038	893	631
2004039	970	339
2004040	788	836
2004041	194	935
2004042	073	303
2004043	651	227
2004044	641	092
2004045	004	927
2004046	188	821
2004047	767	731
2004048	791	284
2004049	877	798
2004050	737	933
2004051	478	066
2004052	808	167
2004053	531	487
2004054	130	008
2004055	751	378
2004056	965	409
2004057	726	774
2004058	367	722
2004059	711	229
2004060	642	369
2004061	915	651
2004062	427	649
2004063	453	357
2004064	415	263
2004065	727	472
2004066	003	787
2004067	396	419
2004068	230	187
2004069	535	519
2004070	485	619
2004071	492	107
2004072	125	397
2004073	263	229
2004074	670	605
2004075	507	321
2004076	079	905
2004077	165	936
2004078	735	860
2004079	552	879
2004080	934	093
2004081	717	984
2004082	703	165
2004083	832	044
2004084	605	170
2004085	906	269
2004086	840	737
2004087	105	163
2004088	344	217
2004089	526	191
2004090	435	263
2004091	564	018
2004092	261	033
2004093	793	733
2004094	690	217
2004095	013	819
2004096	082	964
2004097	427	375
2004098	399	554
2004099	715	920
2004100	683	699
2004101	063	499
2004102	691	125
2004103	376	223
2004104	055	069
2004105	667	310
2004106	184	619
2004107	686	251
2004108	773	033
2004109	133	550
2004110	963	628
2004111	727	631
2004112	367	105
2004113	850	131
2004114	310	599
2004115	120	698
2004116	607	338
2004117	979	048
2004118	592	829
2004119	303	173
2004120	397	982
2004121	967	393
2004122	936	313
2004123	926	950
2004124	684	579
2004125	116	494
2004126	983	062
2004127	216	753
2004128	593	105
2004129	406	275
2004130	552	185
2004131	917	971
2004132	321	665
2004133	105	302
2004134	573	543
2004135	304	992
2004136	857	327
2004137	795	573
2004138	208	723
2004139	837	562
2004140	740	116
2004141	426	360
2004142	385	626
2004143	433	919
2004144	176	484
2004145	109	445
2004146	109	846
2004147	134	161
2004148	350	916
2004149	537	743
2004150	876	768
2004151	963	289
2004152	432	833
2004153	244	850
2004154	807	313
2004155	470	772
2004156	230	286
2004157	947	661
2004158	504	529
2004159	299	064
2004160	101	185
2004161	057	834
2004162	397	799
2004163	274	509
2004164	947	248
2004165	822	938
2004166	961	644
2004167	073	215
2004168	569	895
2004169	954	262
2004170	766	787
2004171	812	986
2004172	175	549
2004173	314	282
2004174	169	666
2004175	351	816
2004176	635	488
2004177	678	845
2004178	503	529
2004179	545	691
2004180	563	743
2004181	397	876
2004182	832	190
2004183	811	831
2004184	598	654
2004185	980	134
2004186	229	549
2004187	172	039
2004188	100	626
2004189	356	959
2004190	058	276
2004191	523	004
2004192	235	834
2004193	939	668
2004194	021	988
2004195	477	452
2004196	055	713
2004197	049	633
2004198	164	589
2004199	788	314
2004200	095	169
2004201	298	884
2004202	132	736
2004203	068	707
2004204	948	014
2004205	411	662
2004206	913	567
2004207	590	159
2004208	909	599
2004209	246	149
2004210	566	709
2004211	493	628
2004212	328	902
2004213	351	455
2004214	916	978
2004215	704	905
2004216	981	914
2004217	544	459
2004218	841	924
2004219	449	400
2004220	210	805
2004221	602	026
2004222	089	767
2004223	565	052
2004224	534	795
2004225	721	651
2004226	316	531
2004227	337	963
2004228	588	171
2004229	656	160
2004230	689	999
2004231	653	467
2004232	759	847
2004233	999	093
2004234	420	686
2004235	036	242
2004236	918	751
2004237	523	771
2004238	186	495
2004239	125	515
2004240	354	755
2004241	334	075
2004242	063	250
2004243	674	280
2004244	398	375
2004245	865	567
2004246	351	642
2004247	155	115
2004248	912	383
